guid,Country,Country:sv,Country info,Country info:sv,Capital,Capital:sv,Capital info,Capital info:sv,Capital hint,Capital hint:sv,Flag,Flag similarity,Flag similarity:sv,Map,tags
il{B6F&ui9,El Salvador,El Salvador, , ,San Salvador,San Salvador,,,,,"<img src=""ug-flag-el_salvador-blur.png"" /><img src=""ug-flag-el_salvador.png"" />","Nicaragua (different coat of arms, slightly lighter blue)",,"<img src=""ug-map-el_salvador.png"" />",UG::North_America UG::Sovereign_State
b^_Av:%|%E,Guatemala,Guatemala, , ,Guatemala City,Guatemala City,,,,,"<img src=""ug-flag-guatemala.png"" />",,,"<img src=""ug-map-guatemala.png"" />",UG::North_America UG::Sovereign_State
rGPlNG/dw%,Honduras,Honduras, , ,Tegucigalpa,Tegucigalpa,,,,,"<img src=""ug-flag-honduras.svg"" />",,,"<img src=""ug-map-honduras.png"" />",UG::North_America UG::Sovereign_State
oz4yuR}6W$,Nicaragua,Nicaragua, , ,Managua,Managua,,,,,"<img src=""ug-flag-nicaragua-blur.svg"" /><img src=""ug-flag-nicaragua.svg"" />","El Salvador (different coat of arms, slightly darker blue)",,"<img src=""ug-map-nicaragua.png"" />",UG::North_America UG::Sovereign_State
t1/=+}2*3>,Panama,Panama, , ,Panama City,Panama City,,,,,"<img src=""ug-flag-panama.svg"" />",,,"<img src=""ug-map-panama.png"" />",UG::North_America UG::Sovereign_State
kb%EK<T(Tt,Antigua and Barbuda,Antigua och Barbuda, , ,St. John's,Saint John's,,,,,"<img src=""ug-flag-antigua_and_barbuda.svg"" />",,,"<img src=""ug-map-antigua_and_barbuda.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
iK~qWOheLq,Dominica,Dominica, , ,Roseau,Roseau,,,,,"<img src=""ug-flag-dominica.svg"" />",,,"<img src=""ug-map-dominica.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
tMrR6sO|1I,Saint Vincent and the Grenadines,Saint Vincent och Grenadinerna, , ,Kingstown,Kingstown,,,,,"<img src=""ug-flag-saint_vincent_and_the_grenadines.svg"" />",,,"<img src=""ug-map-saint_vincent_and_the_grenadines.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
asajU<(4|R,Somalia,Somalia, , ,Mogadishu,Mogadishu,,,,,"<img src=""ug-flag-somalia.svg"" />",,,"<img src=""ug-map-somalia.png"" />",UG::Africa UG::East_Africa UG::Sovereign_State
e1zOyx7^cj,Zanzibar,Zanzibar,Semi-autonomous region of Tanzania., , , ,,,,,,,,"<img src=""ug-map-zanzibar.png"" />",UG::Africa
e9ss7Fgu&7,Ghana,Ghana, , ,Accra,Accra,,,,,"<img src=""ug-flag-ghana.svg"" />",Bolivia (coat of arms instead of star),,"<img src=""ug-map-ghana.png"" />",UG::Africa UG::Sovereign_State UG::West_Africa
pEm(WFjeNI,Guinea,Guinea, , ,Conakry,Conakry,,Även Konakry,,,"<img src=""ug-flag-guinea.svg"" />","Mali (red and green flipped, slightly brighter green)",,"<img src=""ug-map-guinea.png"" />",UG::Africa UG::Sovereign_State UG::West_Africa
i|{O!q|&(,New Zealand,Nya Zeeland, , ,Wellington,Wellington,,,,,"<img src=""ug-flag-new_zealand.svg"" />","Australia (white stars, two more stars)",,"<img src=""ug-map-new_zealand.png"" />",UG::Oceania UG::Sovereign_State
"j,B{#x5qDF",French Polynesia,Franska Polynesien,Overseas territory of France., ,Papeete,Papeete,,,,,"<img src=""ug-flag-french_polynesia.svg"" />",,,"<img src=""ug-map-french_polynesia.png"" />",UG::Oceania
o9ivN6iIr!,Philippines,Filippinerna, , ,Manila,Manila,,Även Manilla,,,"<img src=""ug-flag-philippines.svg"" />",,,"<img src=""ug-map-philippines.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
jUJSQU2P%2,Kosovo,Kosovo,Partially recognised state claimed by Serbia., ,Pristina,Pristina,,,,,"<img src=""ug-flag-kosovo.svg"" />",,,"<img src=""ug-map-kosovo.png"" />",UG::Europe UG::Sovereign_State
h3-{dj)G!E,Libya,Libyen, , ,Tripoli,Tripoli,,,,,"<img src=""ug-flag-libya.svg"" />",,,"<img src=""ug-map-libya.png"" />",UG::Africa UG::Mediterranean UG::Sovereign_State
pB$g~KqI~-,Palau,Palau, , ,Ngerulmud,Ngerulmud,,,,,"<img src=""ug-flag-palau.svg"" />",,,"<img src=""ug-map-palau.png"" />",UG::Oceania UG::Sovereign_State
jQPANR0Yq9,Saint Lucia,Saint Lucia, , ,Castries,Castries,,,,,"<img src=""ug-flag-saint_lucia.svg"" />",,,"<img src=""ug-map-saint_lucia.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
",LnVW8IL`",Bali,Bali,Island of Indonesia., , , ,,,,,,,,"<img src=""ug-map-bali.png"" />",UG::Asia
"dq,.Htg]>L",Grenada,Grenada, , ,St. George's,Saint George's,,,,,"<img src=""ug-flag-grenada.svg"" />",,,"<img src=""ug-map-grenada.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
oDGbPPlkzc,British Virgin Islands,Brittiska Jungfruöarna,Overseas territory of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-british_virgin_islands.png"" />",UG::Caribbean UG::North_America
ogLVp1-2mC,Turks and Caicos Islands,Turks- och Caicosöarna,Overseas territory of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-turks_and_caicos_islands.png"" />",UG::Caribbean UG::North_America
t8K|Gnw[k$,Cayman Islands,Caymanöarna,Overseas territory of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-cayman_islands.png"" />",UG::Caribbean UG::North_America
cy]sz097{A,Anguilla,Anguilla,Overseas territory of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-anguilla.png"" />",UG::Caribbean UG::North_America
"hz,n^64X%i",Azores,Azorerna,Autonomous region of Portugal., , , ,,,,,,,,"<img src=""ug-map-azores.png"" />",UG::Europe
mMdbj-!g%k,Curaçao,Curaçao,Constituent country of the Kingdom of the Netherlands., ,Willemstad,Willemstad,,,,,"<img src=""ug-flag-curacao.svg"" />",Nauru (single star below yellow band),,"<img src=""ug-map-curacao.png"" />",UG::Caribbean UG::North_America
~F>Y6gVJay,French Guiana,Franska Guyana,Overseas department of France., , , ,,,,,,,,"<img src=""ug-map-french_guiana.png"" />",UG::South_America
mHDrx]xo!x,Gibraltar,Gibraltar,Overseas territory of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-gibraltar.png"" />",UG::Europe UG::Mediterranean
n#k%mr&bc-,Guernsey,Guernsey,Crown dependency of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-guernsey.png"" />",UG::Europe
"a_~PL,CWhU",Isle of Man,Isle of Man,Crown dependency of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-isle_of_man.png"" />",UG::Europe
kq:]$sh13[,Jersey,Jersey,Crown dependency of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-jersey.png"" />",UG::Europe
q{72>nP`an,Kiribati,Kiribati, , ,Tarawa,Tarawa,,,,,"<img src=""ug-flag-kiribati.svg"" />",,,"<img src=""ug-map-kiribati.png"" />",UG::Oceania UG::Sovereign_State
k2lcDMRBT~,Macau,Macao,Special Administrative Region of China.,Alternativt Macau, , ,,,,,"<img src=""ug-flag-macau.svg"" />",,,"<img src=""ug-map-macau.png"" />",UG::Asia
fKTU=+DKl],Madeira,Madeira,Autonomous region of Portugal., , , ,,,,,,,,"<img src=""ug-map-madeira.png"" />",UG::Europe
c]uN7LyVsp,Marshall Islands,Marshallöarna, , ,Majuro,Majuro,,,,,"<img src=""ug-flag-marshall_islands.svg"" />",,,"<img src=""ug-map-marshall_islands.png"" />",UG::Oceania UG::Sovereign_State
t)z=hAWb]&,Nauru,Nauru, , ,Yaren,Yaren,Nauru has no official capital; the Yaren District is the de facto capital.,,,,"<img src=""ug-flag-nauru.svg"" />",Curaçao (two stars in top-left corner),,"<img src=""ug-map-nauru.png"" />",UG::Oceania UG::Sovereign_State
rVjI+Dj-jD,New Caledonia,Nya Kaledonien,Overseas territory of France., ,Nouméa,Nouméa,,,,,"<img src=""ug-flag-new_caledonia.svg"" />",,,"<img src=""ug-map-new_caledonia.png"" />",UG::Oceania
i{AO.sDnO+,Niue,Niue, , ,Alofi,Alofi,,,,,"<img src=""ug-flag-niue.svg"" />",,,"<img src=""ug-map-niue.png"" />",UG::Oceania UG::Sovereign_State
"pv9EZFj)s,",Northern Cyprus,Nordcypern,State recognised only by Turkey and claimed by Cyprus., ,North Nicosia,Nicosia,,Även känd som Lefkosia,,,"<img src=""ug-flag-northern_cyprus.svg"" />",,,"<img src=""ug-map-northern_cyprus.png"" />",UG::Asia UG::Mediterranean UG::Middle_East UG::Sovereign_State
~Dk{D{2gBH,Saint Kitts and Nevis,Saint Kitts och Nevis, , ,Basseterre,Basseterre,,,,,"<img src=""ug-flag-saint_kitts_and_nevis.svg"" />",,,"<img src=""ug-map-saint_kitts_and_nevis.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
o7)=R+6P:L,Samoa,Samoa, , ,Apia,Apia,,,,,"<img src=""ug-flag-samoa.svg"" />",,,"<img src=""ug-map-samoa.png"" />",UG::Oceania UG::Sovereign_State
h{vf&a5Zk%,Somaliland,Somaliland,Independent state claimed by Somalia., ,Hargeisa,Hargeisa,,"Även Hargeysa, Hargaysa",,,"<img src=""ug-flag-somaliland.svg"" />",,,"<img src=""ug-map-somaliland.png"" />",UG::Africa UG::East_Africa UG::Sovereign_State
jngb)i9MvC,South Sudan,Sydsudan, , ,Juba,Juba,,,,,"<img src=""ug-flag-south_sudan.svg"" />",,,"<img src=""ug-map-south_sudan.png"" />",UG::Africa UG::East_Africa UG::Sovereign_State
bQvdKppvV7,Tuvalu,Tuvalu, , ,Funafuti,Funafuti,,,,,"<img src=""ug-flag-tuvalu.svg"" />",,,"<img src=""ug-map-tuvalu.png"" />",UG::Oceania UG::Sovereign_State
i)fP+$-+Ge,United States Virgin Islands,Amerikanska Jungfruöarna,Unincorporated territory of the United States., ,Charlotte Amalie,Charlotte Amalie,,,,,"<img src=""ug-flag-united_states_virgin_islands.svg"" />",,,"<img src=""ug-map-united_states_virgin_islands.png"" />",UG::Caribbean UG::North_America
bHD8m}tJ&v,Åland Islands,Åland,Autonomous region of Finland., ,Mariehamn,Mariehamn,,,,,"<img src=""ug-flag-aland_islands.svg"" />",,,"<img src=""ug-map-aland_islands.png"" />",UG::Europe
nE1cs;TFgo,South Ossetia,Sydossetien,Independent state claimed by Georgia., ,Tskhinvali,Tschinvali,,,,,"<img src=""ug-flag-south_ossetia.svg"" />",,,"<img src=""ug-map-south_ossetia.png"" />",UG::Asia UG::Sovereign_State
lU*>%[&e|.,American Samoa,Amerikanska Samoa,Unincorporated territory of the United States., , , ,,,,,,,,"<img src=""ug-map-american_samoa.png"" />",UG::Oceania
nK;HFcd-1P,Northern Mariana Islands,Nordmarianerna,Unincorporated territory of the United States., , , ,,,,,,,,"<img src=""ug-map-northern_mariana_islands.png"" />",UG::Oceania
s7{M&?)+C&,Aruba,Aruba,Constituent country of the Kingdom of the Netherlands., ,Oranjestad,Oranjestad,,,,,"<img src=""ug-flag-aruba.svg"" />",,,"<img src=""ug-map-aruba.png"" />",UG::Caribbean UG::North_America
q@4oQPt%lt,Abkhazia,Abchazien,Independent state claimed by Georgia., ,Sukhumi,Suchumi,,,,,"<img src=""ug-flag-abkhazia.svg"" />",,,"<img src=""ug-map-abkhazia.png"" />",UG::Europe UG::Sovereign_State
~Z$*giAq2R,Sint Maarten,Sint Maarten,Constituent country of the Kingdom of the Netherlands., , , ,,,,,,,,"<img src=""ug-map-sint_maarten.png"" />",UG::Caribbean UG::North_America
c!s:Fj2c:e,Republic of Artsakh,Nagorno-Karabach,"Independent state claimed by Azerbaijan, formerly known as Nagorno-Karabakh.",Även känt som Republiken Artsach,Stepanakert,Stepanakert,,Sedan 2017 officiellt Republiken Artsach,,,"<img src=""ug-flag-republic_of_artsakh.svg"" />",,,"<img src=""ug-map-republic_of_artsakh.png"" />",UG::Asia UG::Sovereign_State
aFoG$7c-N0,Tonga,Tonga, , ,Nukuʻalofa,Nuku'alofa,,Även Nukualofa,,,"<img src=""ug-flag-tonga.svg"" />",,,"<img src=""ug-map-tonga.png"" />",UG::Oceania UG::Sovereign_State
r;-09<YGl$,Transnistria,Transnistrien,Independent state claimed by Moldova., ,Tiraspol,Tiraspol,,,,,"<img src=""ug-flag-transnistria.svg"" />",,,"<img src=""ug-map-transnistria.png"" />",UG::Europe UG::Sovereign_State
h/)!YCH&na,Sardinia,Sardinien,Autonomous region of Italy., , , ,,,,,,,,"<img src=""ug-map-sardinia.png"" />",UG::Europe
b&sLa#a&vn,Kaliningrad Oblast,Kaliningrad oblast,Oblast (administrative region) of the Russian Federation.,Även känt som Ryska Östpreussen, , ,,,,,,,,"<img src=""ug-map-kaliningrad_oblast.png"" />",UG::Europe
sxF2<dV=;U,Martinique,Martinique,Overseas department of France., , , ,,,,,,,,"<img src=""ug-map-martinique.png"" />",UG::Caribbean UG::North_America
e(0+:Olb[9,Java,Java,Island of Indonesia., , , ,,,,,,,,"<img src=""ug-map-java.png"" />",UG::Asia
2N$NqX&k.,Corsica,Korsika,Region of France., , , ,,,,,,,,"<img src=""ug-map-corsica.png"" />",UG::Europe
z47ZI4{%6m,European Union,Europeiska unionen, , ,Brussels,Bryssel,"Brussels is the seat of the executive branch, but the European Union has institutions in other European cities.",,Not a sovereign country,,"<img src=""ug-flag-european_union.svg"" />",,,"<img src=""ug-map-european_union.png"" />",UG::Europe
H=>r?{J3T>,Gulf of Mexico,Mexikanska golfen, , , , ,,,,,,,,"<img src=""ug-map-gulf_of_mexico.png"" />",UG::Oceans+Seas
EvBBgdOH>L,Philippine Sea,Filippinska sjön, , , , ,,,,,,,,"<img src=""ug-map-philippine_sea.png"" />",UG::Oceans+Seas
J>%}8KJ$/P,Southern Ocean,Antarktiska oceanen, , , , ,,,,,,,,"<img src=""ug-map-southern_ocean-nobox.png"" />",UG::Oceans+Seas
p[VL?c~DNl,Gulf of Thailand,Thailandviken,Also known as the Gulf of Siam., , , ,,,,,,,,"<img src=""ug-map-gulf_of_thailand.png"" />",UG::Oceans+Seas
a7n-YbtFyN,Micronesia,Mikronesien,Subregion of Oceania comprising thousands of small islands in the western Pacific Ocean., , , ,,,,,,,,"<img src=""ug-map-micronesia.png"" />",UG::Oceania
dq|xYN)MGZ,Pacific Ocean,Stilla havet, , , , ,,,,,,,,"<img src=""ug-map-pacific_ocean-nobox.png"" />",UG::Oceans+Seas
l6?c8ziNbK,Atlantic Ocean,Atlanten, , , , ,,,,,,,,"<img src=""ug-map-atlantic_ocean-nobox.png"" />",UG::Oceans+Seas
d]f3d/htPe,Indian Ocean,Indiska oceanen, , , , ,,,,,,,,"<img src=""ug-map-indian_ocean-nobox.png"" />",UG::Oceans+Seas
"e+b<[K.t,Y",Arctic Ocean,Norra ishavet, , , , ,,,,,,,,"<img src=""ug-map-arctic_ocean-nobox.png"" />",UG::Oceans+Seas
q;`%:Y|$[Z,Hudson Bay,Hudson Bay, , , , ,,,,,,,,"<img src=""ug-map-hudson_bay.png"" />",UG::Oceans+Seas
bX?b@#G`+b,Labrador Sea,Labradorhavet, , , , ,,,,,,,,"<img src=""ug-map-labrador_sea.png"" />",UG::Oceans+Seas
a)/A6i.IDE,White Sea,Vita havet, , , , ,,,,,,,,"<img src=""ug-map-white_sea.png"" />",UG::Oceans+Seas
c<gAS-(0qJ,Denmark Strait,Danmarksundet, , , , ,,,,,,,,"<img src=""ug-map-denmark_strait.png"" />",UG::Oceans+Seas
j1yLgdVnj),Norwegian Sea,Norska havet, , , , ,,,,,,,,"<img src=""ug-map-norwegian_sea.png"" />",UG::Oceans+Seas
c130}t)$BS,Baltic Sea,Östersjön, , , , ,,,,,,,,"<img src=""ug-map-baltic_sea.png"" />",UG::Oceans+Seas
Cc2l|nvbk^,Celtic Sea,Keltiska havet, , , , ,,,,,,,,"<img src=""ug-map-celtic_sea.png"" />",UG::Oceans+Seas
oa;|#Te:Ae,English Channel,Engelska kanalen, , , , ,,,,,,,,"<img src=""ug-map-english_channel.png"" />",UG::Oceans+Seas
w{s0UWM|x@,Adriatic Sea,Adriatiska havet, , , , ,,,,,,,,"<img src=""ug-map-adriatic_sea.png"" />",UG::Oceans+Seas
FqKy-)oA4;,Bay of Biscay,Biscayabukten, , , , ,,,,,,,,"<img src=""ug-map-bay_of_biscay.png"" />",UG::Oceans+Seas
cGtK7?SaPc,Black Sea,Svarta havet, , , , ,,,,,,,,"<img src=""ug-map-black_sea.png"" />",UG::Oceans+Seas
g%pc9WITZo,Aegean Sea,Egeiska havet, , , , ,,,,,,,,"<img src=""ug-map-aegean_sea.png"" />",UG::Oceans+Seas
x[Kzpy@s~;,Balkan Peninsula,Balkanhalvön, ,Även känt som Balkan, , ,,,,,,,,"<img src=""ug-map-balkan_peninsula.png"" />",UG::Europe
vbL}V{98ON,Caspian Sea,Kaspiska havet, , , , ,,,,,,,,"<img src=""ug-map-caspian_sea.png"" />",UG::Oceans+Seas
EZtX|@m?Q2,Mediterranean Sea,Medelhavet, , , , ,,,,,,,,"<img src=""ug-map-mediterranean_sea.png"" />",UG::Oceans+Seas
e@@^AV+dAM,East Siberian Sea,Östsibiriska havet, , , , ,,,,,,,,"<img src=""ug-map-east_siberian_sea.png"" />",UG::Oceans+Seas
HmoM231Qq$,Bering Strait,Berings sund, , , , ,,,,,,,,"<img src=""ug-map-bering_strait.png"" />",UG::Oceans+Seas
poPdjd5HLz,Arabian Sea,Arabiska havet, ,Även känt som Arabiska sjön, , ,,,,,,,,"<img src=""ug-map-arabian_sea.png"" />",UG::Oceans+Seas
zEBFrOdfe,Red Sea,Röda havet, , , , ,,,,,,,,"<img src=""ug-map-red_sea.png"" />",UG::Oceans+Seas
zw5tXg<s5&,Dead Sea,Döda havet, , , , ,,,,,,,,"<img src=""ug-map-dead_sea.png"" />",UG::Oceans+Seas
xwmKE4lE_0,Bay of Bengal,Bengaliska viken, , , , ,,,,,,,,"<img src=""ug-map-bay_of_bengal.png"" />",UG::Oceans+Seas
bK<rY$S^s5,Sea of Japan,Japanska havet,"A naming dispute exists between the sea's bordering countries, with South Korea notably supporting the name East Sea.", , , ,,,,,,,,"<img src=""ug-map-sea_of_japan.png"" />",UG::Oceans+Seas
Je-`m3(~QF,Yellow Sea,Gula havet, ,Kallas Västhavet i Nord- och Sydkorea, , ,,,,,,,,"<img src=""ug-map-yellow_sea.png"" />",UG::Oceans+Seas
qJ+i|:p<>`,Coral Sea,Korallhavet, , , , ,,,,,,,,"<img src=""ug-map-coral_sea.png"" />",UG::Oceans+Seas
rl6`!_=m$t,South China Sea,Sydkinesiska havet, , , , ,,,,,,,,"<img src=""ug-map-south_china_sea.png"" />",UG::Oceans+Seas
"c,*wl;9I]m",Tasman Sea,Tasmanhavet, , , , ,,,,,,,,"<img src=""ug-map-tasman_sea.png"" />",UG::Oceans+Seas
n?X[ih%==F,Gulf of Carpentaria,Carpentariaviken, , , , ,,,,,,,,"<img src=""ug-map-gulf_of_carpentaria.png"" />",UG::Oceans+Seas
oU3q~Y:QR;,Aral Sea,Aralsjön, , , , ,,,,,,,,"<img src=""ug-map-aral_sea.png"" />",UG::Oceans+Seas
KlJJ`wS@RY,Persian Gulf,Persiska viken, ,Även känd som Iranska viken, , ,,,,,,,,"<img src=""ug-map-persian_gulf.png"" />",UG::Oceans+Seas
h|7yQG0Wik,Caribbean Sea,Karibiska havet, , , , ,,,,,,,,"<img src=""ug-map-caribbean_sea.png"" />",UG::Oceans+Seas
:XMC{NXgC,Gulf of California,Californiaviken,Also known as the Sea of Cortez., , , ,,,,,,,,"<img src=""ug-map-gulf_of_california.png"" />",UG::Oceans+Seas
beUci8clxs,Polynesia,Polynesien,Subregion of Oceania comprising thousands of small islands in the central and southern Pacific Ocean., , , ,,,,,,,,"<img src=""ug-map-polynesia.png"" />",UG::Oceania
miE4u575Ez,Melanesia,Melanesien,"Subregion of Oceania, which includes the four countries of Vanuatu, the Solomon Islands, Fiji, and Papua New Guinea.", , , ,,,,,,,,"<img src=""ug-map-melanesia.png"" />",UG::Oceania
FQfLvMyzbT,Scandinavia,Skandinavien,"Historical and cultural region in Northern Europe, which includes the countries of Denmark, Norway and Sweden, and sometimes Finland and Iceland.", , , ,,,,,,,,"<img src=""ug-map-scandinavia.png"" />",UG::Europe
O[YhHW&F>+,Sea of Galilee,Gennesaretsjön, ,Även känd som Galileiska sjön och Tiberiassjön, , ,,,,,,,,"<img src=""ug-map-sea_of_galilee.png"" />",UG::Oceans+Seas
"aWfat2,ev[",Sumatra,Sumatra,Island of Indonesia., , , ,,,,,,,,"<img src=""ug-map-sumatra.png"" />",UG::Asia
lIEV|(|pPu,Sicily,Sicilien,Autonomous region of Italy., , , ,,,,,,,,"<img src=""ug-map-sicily.png"" />",UG::Europe
v2Z)BIAnoM,Mayotte,Mayotte,Overseas department of France., , , ,,,,,,,,"<img src=""ug-map-mayotte.png"" />",UG::Africa UG::East_Africa
t3VhRfcBZs,Réunion,Réunion,Overseas department of France., , , ,,,,,,,,"<img src=""ug-map-reunion.png"" />",UG::Africa UG::East_Africa
UkP!tU%r),Falkland Islands,Falklandsöarna,Overseas territory of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-falkland_islands.png"" />",UG::South_America
m_r)&~O1}o,Europe,Europa, , , , ,,,,,,,,"<img src=""ug-map-europe-nobox.png"" />",UG::Continents
~(x;GNezDa,North America,Nordamerika, , , , ,,,,,,,,"<img src=""ug-map-north_america-nobox.png"" />",UG::Continents
J0Tm]%4@bZ,South America,Sydamerika, , , , ,,,,,,,,"<img src=""ug-map-south_america-nobox.png"" />",UG::Continents
"OXQI~iZ_,i",Asia,Asien, , , , ,,,,,,,,"<img src=""ug-map-asia-nobox.png"" />",UG::Continents
n84^2BdKL%,Africa,Afrika, , , , ,,,,,,,,"<img src=""ug-map-africa-nobox.png"" />",UG::Continents
o*2%L86y|t,Australia (Oceania),Australien, , , , ,,,,,,,,"<img src=""ug-map-oceania-nobox.png"" />",UG::Continents
7R0>xXtI),Antarctica,Oceanien, , , , ,,,,,,,,"<img src=""ug-map-antarctica-nobox.png"" />",UG::Continents
rbjYQCA<Z.,Saint Martin,Saint Martin,Overseas territory of France., , , ,,,,,,,,"<img src=""ug-map-saint_martin.png"" />",UG::Caribbean UG::North_America
